SimTime,RunTag,Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,LB_Naive,random_opt_cost,random_opt_ratio,random_partition_cost,random_bb,random_makespan,random_time,random_dag_makespan,random_lssp_makespan,random_lssp_swprio_makespan,random_best_makespan,greedy_opt_cost,greedy_opt_ratio,greedy_partition_cost,greedy_bb,greedy_makespan,greedy_time,greedy_dag_makespan,greedy_lssp_makespan,greedy_lssp_swprio_makespan,greedy_best_makespan,diff_gnn_opt_cost,diff_gnn_opt_ratio,diff_gnn_partition_cost,diff_gnn_bb,diff_gnn_makespan,diff_gnn_time,diff_gnn_dag_makespan,diff_gnn_lssp_makespan,diff_gnn_lssp_swprio_makespan,diff_gnn_best_makespan,diff_gnn_order_opt_cost,diff_gnn_order_opt_ratio,diff_gnn_order_partition_cost,diff_gnn_order_bb,diff_gnn_order_makespan,diff_gnn_order_time,diff_gnn_order_dag_makespan,diff_gnn_order_lssp_makespan,diff_gnn_order_lssp_swprio_makespan,diff_gnn_order_best_makespan,gcps_opt_cost,gcps_opt_ratio,gcps_partition_cost,gcps_bb,gcps_makespan,gcps_time,gcps_dag_makespan,gcps_lssp_makespan,gcps_lssp_swprio_makespan,gcps_best_makespan,pso_opt_cost,pso_opt_ratio,pso_partition_cost,pso_bb,pso_makespan,pso_time,pso_dag_makespan,pso_lssp_makespan,pso_lssp_swprio_makespan,pso_best_makespan,dbpso_opt_cost,dbpso_opt_ratio,dbpso_partition_cost,dbpso_bb,dbpso_makespan,dbpso_time,dbpso_dag_makespan,dbpso_lssp_makespan,dbpso_lssp_swprio_makespan,dbpso_best_makespan,clpso_opt_cost,clpso_opt_ratio,clpso_partition_cost,clpso_bb,clpso_makespan,clpso_time,clpso_dag_makespan,clpso_lssp_makespan,clpso_lssp_swprio_makespan,clpso_best_makespan,ccpso_opt_cost,ccpso_opt_ratio,ccpso_partition_cost,ccpso_bb,ccpso_makespan,ccpso_time,ccpso_dag_makespan,ccpso_lssp_makespan,ccpso_lssp_swprio_makespan,ccpso_best_makespan,esa_opt_cost,esa_opt_ratio,esa_partition_cost,esa_bb,esa_makespan,esa_time,esa_dag_makespan,esa_lssp_makespan,esa_lssp_swprio_makespan,esa_best_makespan,shade_opt_cost,shade_opt_ratio,shade_partition_cost,shade_bb,shade_makespan,shade_time,shade_dag_makespan,shade_lssp_makespan,shade_lssp_swprio_makespan,shade_best_makespan,jade_opt_cost,jade_opt_ratio,jade_partition_cost,jade_bb,jade_makespan,jade_time,jade_dag_makespan,jade_lssp_makespan,jade_lssp_swprio_makespan,jade_best_makespan,gl25_opt_cost,gl25_opt_ratio,gl25_partition_cost,gl25_bb,gl25_makespan,gl25_time,gl25_dag_makespan,gl25_lssp_makespan,gl25_lssp_swprio_makespan,gl25_best_makespan,pso_solution_valid,pso_initial_solution_valid,pso_was_repaired,pso_num_repaired_nodes,pso_repair_strategy,pso_area_used,pso_area_budget,pso_validity_note
2026-04-06 15:02:44,20260406-145800,001__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,42,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.000000001467626,0.7073170732065275,64.0,optimize_swarm_makespan_mip,29.0,28.955894708633423,29.0,29.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,20.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:37:20,smoke-small-updated,001__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,42,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.7073170731707317,64.0,optimize_swarm_makespan_mip,29.0,0.3047316074371338,29.0,29.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,20.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:53:05,20260406-154332,001__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,42,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.7073170731707317,64.0,optimize_swarm_makespan_mip,29.0,0.35523009300231934,29.0,29.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,20.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:54:13,20260406-154332,002__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,43,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.7317073170731707,63.0,optimize_swarm_makespan_mip,30.0,0.32964563369750977,30.0,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,22.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:55:31,20260406-154332,003__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,44,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.7317073170731707,63.0,optimize_swarm_makespan_mip,30.0,0.2768669128417969,30.0,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,22.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:56:48,20260406-154332,004__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-45,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,45,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.7804878048780488,69.0,optimize_swarm_makespan_mip,32.0,0.3188204765319824,32.0,32.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,17.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:04,20260406-154332,005__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-46,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,46,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.7073170731707317,64.0,optimize_swarm_makespan_mip,29.0,0.19587397575378418,29.0,29.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,20.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:10,20260406-154332,006__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-47,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,47,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.7804878048780488,71.0,optimize_swarm_makespan_mip,32.0,0.18221068382263184,32.0,32.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,21.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:16,20260406-154332,007__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-48,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,48,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.7804878048780488,70.0,optimize_swarm_makespan_mip,32.0,0.1820511817932129,32.0,32.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,21.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:22,20260406-154332,008__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-49,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,49,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.7317073170731707,63.0,optimize_swarm_makespan_mip,30.0,0.19151091575622559,30.0,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,22.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:28,20260406-154332,009__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-50,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,50,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.7804878048780488,66.0,optimize_swarm_makespan_mip,32.0,0.19806265830993652,32.0,32.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,19.0,22.0,Valid solution; no area repair needed.
2026-04-06 15:58:46,20260406-154332,010__paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-51,inputs/task_graph_topology/custom/paper_fig3_11node.dot,11,1.0,0.1,1.0,0.5,51,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.7317073170731707,63.0,optimize_swarm_makespan_mip,30.0,0.27903056144714355,30.0,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0,,22.0,22.0,Valid solution; no area repair needed.
